,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7
0,2022-04-26,0.779851,134,0.426752,314,0.105096,0.6881336161303807,54.930277766668
1,2022-04-27,0.839858,149,0.444776,335,0.131343,0.762943656933698,53.982222183332
2,2022-04-28,0.887029,140,0.448718,312,0.230769,0.7202641935127972,60.126111133334
3,2022-04-29,0.882813,159,0.514563,309,0.168285,0.8736329667106815,45.549999983333
4,2022-05-02,0.838828,186,0.681319,273,0.0,0.7003188318533522,66.757777766663
5,2022-05-03,0.861111,194,0.586103,331,0.021148,0.7896432141591532,66.310277783331
6,2022-05-04,0.83,152,0.459215,331,0.090634,0.7184593094523729,57.951666666666
7,2022-05-05,0.876254,174,0.524096,332,0.099398,0.7889316443234894,54.904166666667
8,2022-05-06,0.813505,174,0.494318,352,0.116477,0.7812686683762184,63.499444433332
9,2022-05-09,0.857868,93,0.25,372,0.456989,0.7802386148394097,33.065
10,2022-05-10,0.829582,177,0.504274,351,0.11396,0.744972063260925,55.5963889
11,2022-05-11,0.830508,152,0.475,320,0.075,0.6746421400945002,57.638888866665
12,2022-05-12,0.830816,186,0.54386,342,0.032164,0.7729335875967056,62.255833333332
13,2022-05-13,0.881356,130,0.40625,320,0.259375,0.6142387375659158,56.4586111
14,2022-05-16,0.823151,191,0.602524,317,0.018927,0.7413750850734834,62.082499999998
15,2022-05-17,0.866071,211,0.626113,337,0.002967,0.719800831407153,73.107777783333
16,2022-05-18,0.85,183,0.596091,307,0.022801,0.6829132262151332,81.138611083333
17,2022-05-19,0.859107,174,0.527273,330,0.115152,0.7099033146146044,75.304999999999
18,2022-05-20,0.817568,177,0.567308,312,0.051282,0.6914632263405048,64.754166700003
19,2022-05-23,0.816667,171,0.502941,340,0.117647,0.7762463569689448,57.495833316665
20,2022-05-24,0.861386,172,0.519637,331,0.081571,0.6940070033961963,55.279444416668
21,2022-05-25,0.820847,174,0.537037,324,0.049383,0.6860713083685421,67.977222200001
22,2022-05-26,0.872274,185,0.522599,354,0.087571,0.817900161139761,60.391944450001
23,2022-05-27,0.860558,143,0.458333,312,0.195513,0.7489527807454449,47.290555533333
24,2022-05-31,0.809524,172,0.535826,321,0.080997,0.7069205122275597,57.797777766666
25,2022-06-01,0.856707,188,0.523677,359,0.077994,0.8303616887361069,60.329999983332
26,2022-06-02,0.850649,181,0.551829,328,0.057927,0.685939300115564,64.451111116669
27,2022-06-03,0.85503,193,0.510582,378,0.100529,0.8958942408933953,69.631111133334
28,2022-06-06,0.823009,203,0.553134,367,0.073569,0.8696000049512684,62.058055566666
29,2022-06-07,0.839552,169,0.504478,335,0.2,0.7269517816741884,59.547500033334
30,2022-06-08,0.794212,179,0.559375,320,0.028125,0.6411863756367351,62.675833350002
31,2022-06-09,0.866873,203,0.581662,349,0.068768,0.8232692785654859,63.074444466668
32,2022-06-10,0.847518,176,0.484848,363,0.217631,0.7768100232179085,57.746388883334
33,2022-06-13,0.855124,187,0.640411,292,0.003425,0.7321848135433554,77.599166666667
34,2022-06-14,0.84918,176,0.498584,353,0.084986,0.7250358815618897,72.612777783337
35,2022-06-15,0.823699,190,0.512129,371,0.061995,0.7709644121605495,70.029722233332
36,2022-06-16,0.824176,218,0.586022,372,0.010753,0.6908074848071514,74.263611149999
37,2022-06-17,0.818182,188,0.55132,341,0.029326,0.8120020819713925,70.616111116666
38,2022-06-20,0.833898,166,0.497006,334,0.116766,0.8279152589911378,62.311666666668
39,2022-06-21,0.809353,142,0.394444,360,0.227778,0.7375035888337232,56.7525
40,2022-06-22,0.836565,220,0.606061,363,0.00551,0.843448027383993,78.642222216665
41,2022-06-23,0.85342,166,0.448649,370,0.17027,0.8847220948718769,54.954166633335
42,2022-06-24,0.833803,211,0.553806,381,0.068241,0.742836680432906,77.645
43,2022-06-27,0.804428,134,0.341837,392,0.308673,0.84275330131029,45.23805555
44,2022-06-28,0.80791,173,0.428218,404,0.121287,0.9077511228692701,60.926111133332
45,2022-06-29,0.76875,143,0.360202,397,0.193955,0.7636464716629067,57.843611133331
46,2022-06-30,0.825843,193,0.455189,424,0.15566,0.8627491953039033,74.570000016668
47,2022-07-01,0.803279,190,0.489691,388,0.056701,0.8464843155142646,70.834999999999
48,2022-07-05,0.846369,198,0.5,396,0.09596,0.8936213114292115,66.804999983331
49,2022-07-06,0.866667,166,0.43342,383,0.255875,0.7898206474531428,60.623888883333
50,2022-07-07,0.783951,147,0.33871,434,0.253456,0.8023746172414844,55.405555550001
